"","Year","Scenario","OM","Rho","Frequency","HCR","SSB","SSBest","F_full","Fest","R","Rest","Catchsim","Catchest","REESSB","REEF","rhoSSB","rhoF"
"147",2028,3,1,"No rho-adjustment","Two year updates",3,21840.4989645062,23715.695,0.132646854131844,0.132945,2992953.58779939,3029086,2437.75841534695,2442.013,3.18728674767679,-7.94027106962438,0.00950885352713519,0.000176151826528988
"148",2029,3,1,"No rho-adjustment","Two year updates",3,23959.1515831658,25843.445,0.132645065411805,0.1327071,2779839.4036214,2750899,2664.46290224513,2669.6775,-6.98940501117535,-7.93952208759919,0.0110712615664645,-0.00486786555284668
"149",2030,3,1,"No rho-adjustment","Two year updates",3,26087.0487465727,27879.405,0.1364599048657,0.1365494,2836666.12383529,2838617,3030.93982677057,3027.738,3.64782197425781,-7.67756745216806,0.00487179073238747,0.00101927234813226
"150",2031,3,1,"No rho-adjustment","Two year updates",3,27903.8635662321,29365.88,0.13646005276707,0.13639745,2846698.14205208,2751343.5,3171.35261394411,3184.557,-3.55510237483239,-7.67810589274846,0.00255962908948306,0.00319608017157082
"151",2032,3,1,"No rho-adjustment","Two year updates",3,29210.8467436256,30120.325,0.140906819496254,0.1401488,2928457.59204752,2872017,3317.55539350733,3319.281,3.16901690463249,-7.13661182024843,0.00986647510453112,-0.00565630074836972
"152",2033,3,1,"No rho-adjustment","Two year updates",3,30492.7250179012,30682.145,0.140906210599351,0.1397926,2766063.89495876,2823784.5,3370.33594279098,3373.061,0.66727974704378,-7.13720051625802,0.0159232180465725,-0.010572328943484
"153",2034,3,1,"No rho-adjustment","Two year updates",3,30662.38691038,30509.095,0.141694727505419,0.13984255,2857335.50349305,2813689,3453.51048625668,3436.6225,1.66803235712729,-2.72474245794805,0.0144407909952004,-0.00927482818168097
"154",2035,3,1,"No rho-adjustment","Two year updates",3,30999.5805625794,31009.7,0.141695619968463,0.13794385,2947538.26607691,2885427,3432.14829102232,3440.8485,0.811134194027209,-2.72397749073635,0.0139591618160263,-0.00919093638926088
"155",2036,3,1,"No rho-adjustment","Two year updates",3,31075.5511342296,31298.365,0.139881182435357,0.13720675,2821716.71058621,2719549.5,3410.53017880805,3414.2225,1.1853782073843,-2.01125653235754,0.013107851221689,-0.00760826112508067
"156",2037,3,1,"No rho-adjustment","Two year updates",3,31222.1161070307,31199.82,0.139883826609608,0.13655695,2663865.80299394,2413989,3432.84086794497,3452.6725,0.547663528281919,-2.01158785094283,0.0119623181274497,-0.00634568490935518
"157",1986,4,1,"No rho-adjustment","Two year updates",4,9348.36672772153,16216.935,0.96721,1.045711,10390600,10320840,6647.16770587071,6799.6385,NA,NA,NA,NA
"158",1987,4,1,"No rho-adjustment","Two year updates",4,16518.912994563,20161.155,0.836977,0.8647992,16225800,16379850,8130.44701038667,8004.455,NA,NA,NA,NA
"159",1988,4,1,"No rho-adjustment","Two year updates",4,20752.4917493682,22862.355,0.852962,0.8765613,16847800,16865570,9703.92063158245,9615.342,NA,NA,NA,NA
"160",1989,4,1,"No rho-adjustment","Two year updates",4,23390.9818236223,24866.03,0.6555,0.67460555,30233800,30419960,8396.43097657977,8357.3685,NA,NA,NA,NA
"161",1990,4,1,"No rho-adjustment","Two year updates",4,25313.4546843715,31636.36,0.956372,0.9778261,4526620,4569059,13997.9002823579,13909.35,NA,NA,NA,NA
"162",1991,4,1,"No rho-adjustment","Two year updates",4,31984.9502131185,34924.56,1.19324,1.216954,4628870,4670070.5,17914.5548594407,17856.87,NA,NA,NA,NA
"163",1992,4,1,"No rho-adjustment","Two year updates",4,35179.6177658318,29592.565,1.2111,1.231687,8321060,8385086.5,16849.0859509177,16783.15,NA,NA,NA,NA
"164",1993,4,1,"No rho-adjustment","Two year updates",4,29813.1062327881,18384.765,1.31222,1.3335885,8306270,8368691.5,11260.2202211092,11209.155,NA,NA,NA,NA
"165",1994,4,1,"No rho-adjustment","Two year updates",4,18583.2198396988,12101.135,1.60134,1.644082,10593000,10656065,7568.67196794805,7543.853,NA,NA,NA,NA
"166",1995,4,1,"No rho-adjustment","Two year updates",4,12247.1696007999,10520.555,1.4559,1.492397,3499470,3515248,5812.52022052306,5792.6195,NA,NA,NA,NA
"167",1996,4,1,"No rho-adjustment","Two year updates",4,10606.5189591276,11112.56,1.05505,1.066325,3785520,3794357.5,5004.91572695708,4995.9915,NA,NA,NA,NA
"168",1997,4,1,"No rho-adjustment","Two year updates",4,11158.181373576,11388.705,0.990981,1.0044445,3111340,3099971.5,5452.38941590394,5459.844,NA,NA,NA,NA
"169",1998,4,1,"No rho-adjustment","Two year updates",4,11427.4499636679,9384.318,0.862996,0.8733531,5080230,5053278,4213.11678231634,4224.3845,NA,NA,NA,NA
"170",1999,4,1,"No rho-adjustment","Two year updates",4,9426.16622302122,8261.9775,0.762063,0.7681421,4473680,4468676,3321.00279338297,3312.2025,NA,NA,NA,NA
"171",2000,4,1,"No rho-adjustment","Two year updates",4,8295.8475356132,8433.1735,0.524024,0.5293524,8768560,8768112,2429.52976736888,2423.505,NA,NA,NA,NA
"172",2001,4,1,"No rho-adjustment","Two year updates",4,8487.56986890686,10642.45,0.624922,0.6301294,5105900,5089915,3527.58624980427,3520.563,NA,NA,NA,NA
"173",2002,4,1,"No rho-adjustment","Two year updates",4,10685.6181792533,12767.285,0.666422,0.6712443,1316070,1317882,4393.98621675814,4383.985,NA,NA,NA,NA
"174",2003,4,1,"No rho-adjustment","Two year updates",4,12810.6053756119,13835.515,0.531522,0.5385881,5760720,5757619.5,4240.30128789631,4251.559,NA,NA,NA,NA
"175",2004,4,1,"No rho-adjustment","Two year updates",4,13890.4673050369,13625.48,0.558618,0.564703,2064430,2058846,4684.84265810762,4687.803,NA,NA,NA,NA
"176",2005,4,1,"No rho-adjustment","Two year updates",4,13703.0695075927,12433.17,0.647474,0.65394365,6694740,6716856,4707.14898469411,4700.266,NA,NA,NA,NA
"177",2006,4,1,"No rho-adjustment","Two year updates",4,12533.3631097525,11344.98,0.879411,0.88879785,4096920,4109626,5284.61296570179,5270.9995,NA,NA,NA,NA
"178",2007,4,1,"No rho-adjustment","Two year updates",4,11440.9025585946,9885.4195,0.582746,0.5905489,6912250,6916889.5,3162.68866116184,3147.529,NA,NA,NA,NA
"179",2008,4,1,"No rho-adjustment","Two year updates",4,9960.38801194621,11545.33,0.617485,0.62540775,5430370,5432072,3897.52122163458,3899.689,NA,NA,NA,NA
"180",2009,4,1,"No rho-adjustment","Two year updates",4,11613.6339921974,12606.465,0.82387,0.83370465,4118280,4116684.5,5274.08022447472,5268.8565,NA,NA,NA,NA
"181",2010,4,1,"No rho-adjustment","Two year updates",4,12673.0324810631,12261.375,0.934049,0.9490483,2736090,2744174,5663.61270725488,5676.7475,NA,NA,NA,NA
"182",2011,4,1,"No rho-adjustment","Two year updates",4,12325.9728241538,10563.755,1.04277,1.053392,1711080,1733015.5,5398.15407042508,5374.8645,NA,NA,NA,NA
"183",2012,4,1,"No rho-adjustment","Two year updates",4,10642.9303237078,7976.25,1.50474,1.525892,1645230,1667836.5,5152.4258116925,5151.5215,NA,NA,NA,NA
"184",2013,4,1,"No rho-adjustment","Two year updates",4,8019.45803934245,4477.6105,1.69086,1.7322835,1681620,1712321.5,3039.01853263658,3041.449,NA,NA,NA,NA
"185",2014,4,1,"No rho-adjustment","Two year updates",4,4516.21619272213,2655.181,2.17901,2.242656,787682,794927.55,1947.80968159948,1945.4115,NA,NA,NA,NA
"186",2015,4,1,"No rho-adjustment","Two year updates",4,2676.99893825377,1756.53,2.22469,2.271811,2701790,2731111.5,1245.11330805807,1245.014,NA,NA,NA,NA
"187",2016,4,1,"No rho-adjustment","Two year updates",4,1759.86013695052,1444.4615,0.370279,0.37161925,1184440,1194896.5,260.642551934866,260.9707,NA,NA,NA,NA
"188",2017,4,1,"No rho-adjustment","Two year updates",4,1439.88101254476,2571.5205,0.459487,0.45819465,757999,764600.75,580.032677377118,580.3062,NA,NA,NA,NA
"189",2018,4,1,"No rho-adjustment","Two year updates",4,2555.22478328137,3586.198,0.419339,0.41710165,1845300,1863196.5,860.913139705072,861.48245,NA,NA,NA,NA
"190",2019,4,1,"No rho-adjustment","Two year updates",4,3552.2021825003,4030.024,0.183645320956492,0.1780585,1553667.54439716,1584178.5,505.171201049799,504.2836,-26.76240353614,145.675137886083,NA,NA
"191",2020,4,1,"No rho-adjustment","Two year updates",4,3977.46650755439,5074.8165,0.14301701579665,0.13803495,1720359.61620478,1709048.5,505.178158706886,506.90555,2.12059666216476,27.9765228855894,3.3862935152362e-05,0.000868836622399061
"192",2021,4,1,"No rho-adjustment","Two year updates",4,5020.78399229943,6545.2415,0.143017103550037,0.1395586,2136802.14929189,2169115,651.12881394871,653.43425,-20.1621786352953,27.9746381061378,-0.000956439018320999,0.00728716145654348
"193",2022,4,1,"No rho-adjustment","Two year updates",4,6438.78259746769,8408.761,0.057970554885798,0.056771085,2706000.55056746,2737107.5,362.011139991077,362.5939,2.46112602290471,135.888055334377,-0.00203663427654971,0.00944063596345654
"194",2023,4,1,"No rho-adjustment","Two year updates",4,8252.26511366022,11561.54,0.0579705392936375,0.057054975,2760044.3303432,2758385,504.905456797793,509.83155,-19.8833836862452,135.89235914469,-0.00226613550958246,0.0118164734094965
"195",2024,4,1,"No rho-adjustment","Two year updates",4,11337.5270268467,14448.22,0.0456614579233904,0.04446352,2853004.9939003,2886964,500.693349827626,494.09455,2.80616567617587,21.419959854858,-0.0043619522868739,0.0109177918638727
"196",2025,4,1,"No rho-adjustment","Two year updates",4,14353.7491178217,17853.37,0.0456614703800887,0.044705785,2848062.89088821,2918179.5,628.023345293136,629.0722,-17.7917958708802,21.4199989262662,-0.00492402802826685,0.0117539895389048
"197",2026,4,1,"No rho-adjustment","Two year updates",4,17706.905405445,22101.985,0.0403783546222943,0.03978472,2979510.12883744,3085123.5,717.13681129443,719.93945,3.4216254209249,6.80419423708821,-0.00123099071404006,0.00925471859298813
"198",2027,4,1,"No rho-adjustment","Two year updates",4,21511.9823031129,26309.93,0.0403784330247253,0.039986245,2819629.38961148,2882232.5,859.80138327865,859.09245,-16.2161016991802,6.80426469402126,-0.00231320487469039,0.0117662576817452
"199",2028,4,1,"No rho-adjustment","Two year updates",4,26070.9178758068,30488.205,0.0409370871227873,0.040639555,2686088.9097925,2729993.5,1027.17037332047,1028.738,3.6240556924996,-5.33853471687304,0.00379707475939639,0.00282379641466405
"200",2029,4,1,"No rho-adjustment","Two year updates",4,30277.9609973357,34711.245,0.0409369566807677,0.040402625,2787871.2101701,2764547,1171.54585621609,1169.1115,-10.1967930494486,-5.3389036194846,-0.00311873242793017,0.0122491005263787
"201",2030,4,1,"No rho-adjustment","Two year updates",4,34728.8958703982,38502.505,0.0469232532827695,0.044954835,2657140.17540312,2745503,1474.29520343963,1476.431,3.59059823214287,-14.5579277510849,-0.00340938240643842,0.00863517306467297
"202",2031,4,1,"No rho-adjustment","Two year updates",4,38237.5944732346,41033.145,0.0469232920306,0.04556465,2869057.14772832,2922020,1584.07280057818,1597.495,-6.22034910607011,-14.5579153961424,-0.00213540597285646,0.00632298909765564
"203",2032,4,1,"No rho-adjustment","Two year updates",4,40984.512349643,43447.745,0.0595207266782836,0.05850358,2935727.99859482,2857116.5,2093.74685129019,2094.5675,3.97990050719044,-24.5563701562034,-0.00547174026738216,0.00846691134762641
"204",2033,4,1,"No rho-adjustment","Two year updates",4,42700.8088621845,44883.165,0.059520366576361,0.05808598,2821259.30193994,2923358.5,2147.11012014139,2160.3855,-1.19494246936844,-24.5562864459726,-1.97006643139889e-05,0.00465009814525556
"205",2034,4,1,"No rho-adjustment","Two year updates",4,43601.9749202015,46067.585,0.0811915801925219,0.079537455,2868295.86987953,2951213.5,2903.59588493195,2922.3505,3.43165584072225,-29.8401260145559,-0.00173368138917064,0.00520611640016252
"206",2035,4,1,"No rho-adjustment","Two year updates",4,44756.7699618318,45805.655,0.081193973833209,0.07902407,2669119.2629974,2778437.5,2902.31694285792,2887.836,2.3280838732571,-29.840064995735,-0.000205270477122786,0.00415211688095471
"207",2036,4,1,"No rho-adjustment","Two year updates",4,44126.8942483602,45338.465,0.111728339540561,0.10977905,3055705.2011467,3248317,3741.12123778474,3742.418,3.70292348238024,-28.3324279978993,0.000168013195926165,0.00116276325965179
"208",2037,4,1,"No rho-adjustment","Two year updates",4,43736.0215917463,44367.66,0.111726135696402,0.10804985,2824160.28948403,2790336,3584.95188137401,3589.6045,5.29926200088137,-28.3340936979159,0.00599995556355733,-0.0039227624833025
"209",1986,5,3,"No rho-adjustment","Two year updates",1,22319.1318339676,24219.91,0.8563994,0.8150882,16631560,15920610,9633.49656395959,9598.739,NA,NA,NA,NA
"210",1987,5,3,"No rho-adjustment","Two year updates",1,24044.9009294838,26036.42,0.8681519,0.8103119,17662870,16663725,10729.723921589,10641.38,NA,NA,NA,NA
"211",1988,5,3,"No rho-adjustment","Two year updates",1,25748.0235316206,27276.37,0.6547805,0.61568715,32593270,30218990,8876.19761926296,8889.4035,NA,NA,NA,NA
"212",1989,5,3,"No rho-adjustment","Two year updates",1,27239.6713740593,33565.98,0.9745814,0.9341425,5051173,4484660.5,14815.3771327544,14719.27,NA,NA,NA,NA
"213",1990,5,3,"No rho-adjustment","Two year updates",1,34368.5828797115,36076.27,1.198393,1.1623,5417801,4608579.5,18424.4869594142,18238.465,NA,NA,NA,NA
"214",1991,5,3,"No rho-adjustment","Two year updates",1,37680.4208161709,30410.38,1.18376,1.1811505,10072200,8229346,17265.8453292711,17085.62,NA,NA,NA,NA
"215",1992,5,3,"No rho-adjustment","Two year updates",1,31962.6924910005,18936.5,1.279991,1.296055,10661790,8137694.5,11566.7926126508,11468.4,NA,NA,NA,NA
"216",1993,5,3,"No rho-adjustment","Two year updates",1,20045.5943829432,12342.365,1.543551,1.584567,14684380,10219395,7613.62395530168,7619.736,NA,NA,NA,NA
"217",1994,5,3,"No rho-adjustment","Two year updates",1,13445.4152904616,10521.29,1.332879,1.416562,5257516,3335938,5755.09287246954,5717.5995,NA,NA,NA,NA
"218",1995,5,3,"No rho-adjustment","Two year updates",1,12127.8938465745,10985.815,0.916881,1.037544,6217710,3580019.5,4938.1163083318,4914.96,NA,NA,NA,NA
"219",1996,5,3,"No rho-adjustment","Two year updates",1,13299.6179129649,11162.39,0.8162326,0.97541345,5584570,2927775,5362.59666935739,5342.1485,NA,NA,NA,NA
"220",1997,5,3,"No rho-adjustment","Two year updates",1,13933.864586363,9120.341,0.6711441,0.85397555,9777971,4785161,4106.21396914285,4079.248,NA,NA,NA,NA
"221",1998,5,3,"No rho-adjustment","Two year updates",1,12004.4692371091,7944.47,0.5597291,0.758556,9105385,4205947.5,3210.60339298982,3200.6075,NA,NA,NA,NA
"222",1999,5,3,"No rho-adjustment","Two year updates",1,11215.4142437573,8067.6995,0.3747781,0.52624725,19041730,8343438.5,2332.84652602589,2330.2145,NA,NA,NA,NA
"223",2000,5,3,"No rho-adjustment","Two year updates",1,12161.2909487579,10110.485,0.4428962,0.6291599,11455660,4869433,3369.37931314554,3375.242,NA,NA,NA,NA
"224",2001,5,3,"No rho-adjustment","Two year updates",1,15378.7721931214,12063.78,0.4594742,0.6665449,2976459,1240670,4168.64199988964,4163.8175,NA,NA,NA,NA
"225",2002,5,3,"No rho-adjustment","Two year updates",1,18796.527565239,13108.115,0.3626093,0.5292521,13175370,5538923.5,4002.82825489992,3998.341,NA,NA,NA,NA
"226",2003,5,3,"No rho-adjustment","Two year updates",1,20397.4112336717,12929.24,0.3926542,0.55531935,4777869,2008257,4424.91508431754,4413.4015,NA,NA,NA,NA
"227",2004,5,3,"No rho-adjustment","Two year updates",1,19359.1434615264,11875.725,0.4701816,0.64391605,15418270,6566890.5,4443.68621352355,4449.7125,NA,NA,NA,NA
"228",2005,5,3,"No rho-adjustment","Two year updates",1,17266.7104458113,10898.08,0.6450534,0.8880356,9185212,4047163,5062.12804685166,5068.458,NA,NA,NA,NA
"229",2006,5,3,"No rho-adjustment","Two year updates",1,15633.0101954714,9521.835,0.4354878,0.59411725,15170260,6947598,3067.88701708083,3065.717,NA,NA,NA,NA
"230",2007,5,3,"No rho-adjustment","Two year updates",1,14203.8095119777,11175.96,0.481724,0.6287754,11425310,5454869.5,3798.59500137196,3808.398,NA,NA,NA,NA
"231",2008,5,3,"No rho-adjustment","Two year updates",1,15922.6423711225,12272.21,0.6653683,0.833374,8282485,4125758,5151.75446846276,5139.1225,NA,NA,NA,NA
"232",2009,5,3,"No rho-adjustment","Two year updates",1,16724.7286611763,12042.01,0.7703221,0.9367528,5282501,2729139.5,5565.33333291908,5554.8365,NA,NA,NA,NA
"233",2010,5,3,"No rho-adjustment","Two year updates",1,15839.3430373205,10467.82,0.8866648,1.0427345,3214456,1694367.5,5339.0202921975,5322.285,NA,NA,NA,NA
"234",2011,5,3,"No rho-adjustment","Two year updates",1,13221.7822020736,7916.3185,1.307762,1.505313,3123141,1601191.5,5109.97072073816,5096.6345,NA,NA,NA,NA
"235",2012,5,3,"No rho-adjustment","Two year updates",1,9573.53143760084,4448.4805,1.481667,1.703053,3451363,1467746.5,3032.40778800539,3009.2795,NA,NA,NA,NA
"236",2013,5,3,"No rho-adjustment","Two year updates",1,5394.31278556139,2590.858,1.858794,2.2552015,1711859,590057.1,1952.69883512817,1925.864,NA,NA,NA,NA
"237",2014,5,3,"No rho-adjustment","Two year updates",1,3291.96803540133,1592.6015,1.668793,2.5906935,5726967,1713604,1242.3906597693,1225.4665,NA,NA,NA,NA
"238",2015,5,3,"No rho-adjustment","Two year updates",1,2375.18946319702,1056.0325,0.2698311,0.5087603,2311249,587165.6,260.327717992316,259.99095,NA,NA,NA,NA
"239",2016,5,3,"No rho-adjustment","Two year updates",1,2232.82109871111,1678.7805,0.3742287,0.73958675,1355431,304045.9,578.949825917598,578.8156,NA,NA,NA,NA
"240",2017,5,3,"No rho-adjustment","Two year updates",1,3547.93506976232,1966.179,0.3788805,0.8608956,3061964,664423.9,857.488542766297,860.55935,NA,NA,NA,NA
"241",2018,5,3,"No rho-adjustment","Two year updates",1,4363.4025233656,1619.29,0.198409,0.52123825,4260899,962427.3,515.712106409548,518.9504,NA,NA,NA,NA
"242",2019,5,3,"No rho-adjustment","Two year updates",1,4278.68004512332,1637.649,0.0708840744629217,0.1908389,2940624.4227515,735532,206.043810581042,210.2315,2.30394546535534,367.984686830383,NA,NA
"243",2020,5,3,"No rho-adjustment","Two year updates",1,4725.06290012758,2212.754,0.0577476000315674,0.1402788,3235808.62998503,858728.1,206.050824305584,208.4482,7.58588422020708,-1.14685586005016,0.113569427087538,-0.12171585629865
"244",2021,5,3,"No rho-adjustment","Two year updates",1,5862.77468104663,2994.9695,0.0577467970614082,0.1276412,4075204.12785452,1145952.5,264.957860094201,265.15855,-14.1337464626803,-1.14821489245811,0.16402808434919,-0.157531768382222
"245",2022,5,3,"No rho-adjustment","Two year updates",1,7138.6381553903,4064.8145,0.0858695632667734,0.1730267,4406588.61915789,1389579,482.79433392244,486.9477,17.3165731918778,-52.1118113903294,0.208124067362837,-0.186259120276255
"246",2023,5,3,"No rho-adjustment","Two year updates",1,8750.12339393253,4922.667,0.0858701581714004,0.15880175,5289613.95024218,1700320,544.323514281529,544.9007,-3.64179199051584,-52.1106591217838,0.237991138332772,-0.205838391264715
"247",2024,5,3,"No rho-adjustment","Two year updates",1,9951.10111487997,6180.0635,0.181509760144108,0.3168229,5101340.04878457,1765325.5,1220.03067136996,1246.4445,30.17785184537,-70.3063771554926,0.266156136110536,-0.219541291910953
